"","(Intercept)","agr_gdp","dev_agri","dev_env","fdi","for_rem","gdp","gdp_gr","pop_den","time","df","logLik","AICc","delta","weight"
"401",-6308.30303438537,NA,NA,NA,NA,0.0845598857068676,NA,NA,-599.404499845458,1.069884203999,5,-91.2964688397656,196.878651965245,0,0.3831845409499
"403",-6309.30547593438,NA,0.0316871463177985,NA,NA,0.084572168725124,NA,NA,-599.559930598877,1.06631516000443,6,-90.4999988688873,199.461536199313,2.58288423406751,0.105327504489265
"433",-6415.6669186009,NA,NA,NA,NA,0.0855213421242847,0.406390633113557,NA,-595.856518142272,1.06768593028865,6,-90.5454148676866,199.552368196912,2.67371623166616,0.100650949675003
"402",-6311.98791196961,-3.776144331638,NA,NA,NA,0.0846408955699662,NA,NA,-605.296803175807,1.06219058472428,6,-91.0515814894264,200.564701440391,3.68604947514584,0.0606725860390594
"405",-6302.7892806128,NA,NA,0.18397128136112,NA,0.0844677439346266,NA,NA,-597.45033186743,1.07082870897749,6,-91.1149599797058,200.69145842095,3.81280645570462,0.0569465708902385
"465",-6299.42438116537,NA,NA,NA,NA,0.0844392599869605,NA,-1.03510487751992,-597.874126816421,1.07430847380711,6,-91.1344238825511,200.730386226641,3.85173426139514,0.0558488856406129
"409",-6313.10179997547,NA,NA,NA,0.0111549242118668,0.0845646251996255,NA,NA,-596.835429015173,1.07120450761708,6,-91.2403531922622,200.942244846063,4.06359288081742,0.0502354153432491
"497",-6456.25049866202,NA,NA,NA,NA,0.0857767582262782,0.648294323850318,-2.71927435962463,-589.724215388529,1.07800019660462,7,-89.5808707034333,202.4950747402,5.61642277495443,0.0231109219116617
"435",-6418.89622766655,NA,0.032303523471663,NA,NA,0.0855536313162055,0.414745898115653,NA,-595.942026928585,1.06400226556362,7,-89.6490336047754,202.631400542884,5.75274857763864,0.0215881038324516
"467",-6295.77858567731,NA,0.0364985145653209,NA,NA,0.0843881889934082,NA,-1.59475807107178,-597.225726856648,1.07258959002737,7,-90.0979647616175,203.529262856568,6.65061089132291,0.0137799034307488
"404",-6313.70735986515,-4.44697762765063,0.033659185397614,NA,NA,0.0846683344469186,NA,NA,-606.50867675652,1.05703264843399,7,-90.1332518784153,203.599837090164,6.72118512491849,0.0133021295750498
