"","(Intercept)","agr_gdp.lag2","dev_agr.lag2","dev_env.lag2","fdi.lag2","for_rem","gdp.lag2","pop_den.lag2","time","df","logLik","AICc","delta","weight"
"210",-7292.91062811022,-19.6046540516981,NA,NA,NA,0.0953878595101921,NA,-602.508601162166,1.10472169759235,6,-98.4857354534427,215.971470906885,0,0.399260253026799
"209",-7309.81640132133,NA,NA,NA,NA,0.0958222921216351,NA,-604.679392122197,1.11055322105118,5,-101.268045778812,217.151476173009,1.18000526612323,0.221320269212085
"214",-7313.4930552236,-20.6272124247812,NA,0.669781836779236,NA,0.0956437009743802,NA,-606.741684057489,1.10893997164933,7,-97.7867475830551,219.755313347928,3.78384244104302,0.0602011976696892
"217",-7114.8269621798,NA,NA,NA,-0.107836252205739,0.0933537453545192,NA,-572.662038902468,1.08411832718196,6,-100.424667469464,219.849334938929,3.87786403204342,0.0574365839564968
"218",-7155.86364936854,-18.14314050581,NA,NA,-0.0764889634477944,0.0936692896946993,NA,-579.960312771914,1.0864059894652,7,-97.9443767586718,220.070571699162,4.09910079227635,0.0514218444431708
"213",-7325.70288672345,NA,NA,0.495731129105737,NA,0.0960284213659642,NA,-607.896261551531,1.11390045188395,6,-100.984834444607,220.969668889215,4.99819798232915,0.0328028196396605
"241",-7390.56599244571,NA,NA,NA,NA,0.096382119014642,0.596961142042567,-597.900824157603,1.12732185825085,6,-100.993267269298,220.986534538595,5.01506363170967,0.0325273622864483
"212",-7263.13366641299,-19.8496316323794,-0.0248887681704423,NA,NA,0.0949349845244769,NA,-593.449848280067,1.10170682452437,7,-98.4366109752146,221.055040132247,5.083569225362,0.0314320745739721
"242",-7270.04231422626,-20.3491331901275,NA,NA,NA,0.0952172697565871,-0.164313545049564,-604.291966943581,1.09988468062138,7,-98.4628675233074,221.107553228433,5.1360823215476,0.0306175173232827
"211",-7304.67800037771,NA,-0.00432556749153049,NA,NA,0.0957445277488386,NA,-603.10973180273,1.11004191279993,6,-101.266930103893,221.533860207785,5.56238930089992,0.0247399369147978
"221",-7056.44323823802,NA,NA,0.982757628104182,-0.15754191219143,0.0926245411837054,NA,-564.281326841807,1.07856920792154,7,-99.3556784108882,222.893175003595,6.92170409670911,0.0125379672291888
"222",-7094.76889225777,-18.7524501983021,NA,1.05158983220614,-0.128623249903705,0.0928996092429998,NA,-571.237718226629,1.0805450383307,8,-96.3120500965652,223.02410019313,7.05262928624492,0.0117434874148186
"249",-7196.7784961978,NA,NA,NA,-0.112127847284191,0.0938774631227175,0.663214939997317,-563.856945607027,1.10169599518918,7,-100.053577058233,224.288972298285,8.31750139139922,0.00623926740088161
"219",-7084.9232283782,NA,-0.0210218108651331,NA,-0.1105636265046,0.0929133845187997,NA,-564.223875106701,1.08096483555006,7,-100.396394309942,224.974606801702,9.00313589481686,0.00442843177420334
"245",-7413.25883164698,NA,NA,0.529838689831553,NA,0.0966420402355212,0.63919828439752,-600.859414372665,1.13208582830428,7,-100.660810328676,225.50343883917,9.53196793228412,0.0033995038732473
"246",-7293.08431699812,-21.2859594345545,NA,0.667541930512263,NA,0.0954911166817888,-0.146146412243056,-608.313717696223,1.10462364685025,8,-97.7672871825757,225.934574365151,9.963103458266,0.00274028447595163
"216",-7307.93674589264,-20.6600428004741,-0.00445824923007746,0.662542899385117,NA,0.0955598137478344,NA,-605.073266496045,1.10835433592156,8,-97.7851399746649,225.97027994933,9.99880904244446,0.00269179685448283
"220",-7105.86556334303,-18.4140819313893,-0.0355785993077095,NA,-0.0806368124523605,0.0929287082608468,NA,-565.788037031803,1.08110299013421,8,-97.8394402283348,226.07888045667,10.1074095497841,0.00254952914370145
"215",-7340.91956193624,NA,0.012252347589153,0.516386798528709,NA,0.0962572809500724,NA,-612.476426440126,1.11548822284756,7,-100.976107822032,226.134033825882,10.1625629189964,0.00248018215725488
"243",-7383.25460114864,NA,-0.00634617017833286,NA,NA,0.0962696044851388,0.598641596451342,-595.578846519424,1.12661890649621,7,-100.990797370908,226.163412923634,10.1919420167488,0.00244401568515345
"250",-7150.7810012597,-18.3602579050213,NA,NA,-0.0758219509342866,0.0936374464197709,-0.0451069214932641,-580.646507198522,1.0852378641695,8,-97.9425967711102,226.28519354222,10.3137226353351,0.00229963899016162
"244",-7239.56325641016,-20.6104760298683,-0.0251117982060801,NA,NA,0.094757089616192,-0.167440996694251,-595.185981509295,1.09675072599792,8,-98.4127438428258,227.225487685652,11.2540167787662,0.00143706821745156
"253",-7148.65291209405,NA,NA,1.05048217141042,-0.166006748983204,0.0931892746851533,0.778792029582522,-553.364250210476,1.09882769447074,8,-98.78250116624,227.96500233248,11.9935314255945,0.000992873271123451
"223",-7061.29334905435,NA,0.00364112015572773,0.988302643487731,-0.157349966820513,0.0926967002756146,NA,-565.695587507496,1.07908410424375,8,-99.3547665649743,229.109533129949,13.1380622230631,0.000560224521671736
"251",-7163.65111574236,NA,-0.0240026542474722,NA,-0.115295195330363,0.0933811570259713,0.671442313532251,-554.113040279426,1.09831340191991,8,-100.015287129309,230.430574258617,14.459103351732,0.000289402100010494
"224",-7081.54368186616,-18.8201414363336,-0.010032412322412,1.0365600651172,-0.129047730279357,0.0927017815448814,NA,-567.366103303309,1.0791334719018,9,-96.3025557684321,230.605111536864,14.6336406299789,0.000265217019269365
"254",-7102.22440627457,-18.4249051102662,NA,1.0563550180892,-0.12987423458213,0.0929445654736889,0.0686222859717916,-570.154267849279,1.08229557813146,9,-96.3071939210016,230.614387842003,14.6429169351178,0.000263989750599778
"145",-5260.80175646935,NA,NA,NA,NA,0.0645518581286038,NA,NA,1.05357970661796,4,-110.330964712555,231.519072282252,15.5476013753665,0.000167933498501259
"247",-7426.88391136668,NA,0.0111315974584374,0.548527147968584,NA,0.096848566012762,0.637740445000517,-605.036670306664,1.13348688628943,8,-100.65335947098,231.70671894196,15.7352480350746,0.000152893978303991
"153",-5096.89286091955,NA,NA,NA,-0.204349510050405,0.0630116053681435,NA,NA,1.00920228512168,5,-109.076542594024,232.768469803434,16.7969988965482,8.99154062885547e-05
"146",-5251.0371837206,-20.0454784570908,NA,NA,NA,0.0642224416911466,NA,NA,1.04782619051313,5,-109.306237170753,233.22785895689,17.2563880500043,7.14626346979073e-05
"248",-7287.06842266726,-21.3244500215223,-0.00473740642410049,0.659837464451302,NA,0.0954011418775198,-0.146946090980665,-606.54943250047,1.10397772311422,9,-97.7654687884019,233.530937576804,17.5594666699184,6.14138519503851e-05
"252",-7101.06239703176,-18.6206979441605,-0.0355511768493956,NA,-0.0799982230089067,0.0928989453403317,-0.042968605837057,-566.452625458553,1.07999432771341,9,-97.8378071377169,233.675614275434,17.7041433685484,5.71281541284e-05
"147",-5266.80250482553,NA,-0.143768291940161,NA,NA,0.0646651677427552,NA,NA,1.04150099069537,5,-109.798097187196,234.211578989777,18.2401080828918,4.36985405719059e-05
"177",-5428.43363104758,NA,NA,NA,NA,0.0660232097321803,0.964811707521922,NA,1.0817135092513,5,-110.052486409389,234.720357434163,18.7488865272775,3.38834089413945e-05
"149",-5264.34080251638,NA,NA,0.351881558234827,NA,0.0645800891009129,NA,NA,1.05574050424112,5,-110.276570749714,235.168526114813,19.1970552079281,2.70812374341877e-05
"255",-7151.01902719601,NA,0.00180469054413044,1.05320274782239,-0.165908142704967,0.0932248082181479,0.778472762720128,-554.069692070815,1.09907459350263,9,-98.7822633381496,235.564526676299,19.5930557694139,2.22166245395144e-05
"154",-5110.93461787262,-16.6302270834023,NA,NA,-0.176743639927417,0.0629463882727129,NA,NA,1.0104240350712,6,-108.307764658446,235.615529316892,19.6440584100068,2.16572341922097e-05
"155",-5095.61316742946,NA,-0.158696902256694,NA,-0.214203069562387,0.0630624111471158,NA,NA,0.993729498120254,6,-108.330594571446,235.661189142893,19.6897182360073,2.11684026422538e-05
"157",-5062.24838179285,NA,NA,1.18006317160068,-0.262338428847046,0.0626691977216585,NA,NA,1.00385557027461,6,-108.469438471668,235.938876943336,19.9674060364508,1.84242130880955e-05
"148",-5257.10720175146,-21.6134245016724,-0.163726809341386,NA,NA,0.0643257146529101,NA,NA,1.03362061978345,6,-108.533669000962,236.067338001924,20.0958670950386,1.72780204400569e-05
"185",-5275.62082157103,NA,NA,NA,-0.2087910777151,0.064578142576244,1.04918025182892,NA,1.03883171516934,6,-108.699448061611,236.398896123221,20.4274252163361,1.46385160149718e-05
"150",-5255.95483572457,-20.854209178814,NA,0.528123865850785,NA,0.0642515221021428,NA,NA,1.05083711411413,6,-109.170947761493,237.341895522987,21.3704246161014,9.13539508436885e-06
"178",-5297.35544659351,-18.8507029934083,NA,NA,NA,0.0646435158811,0.263236820694316,NA,1.05584507527832,6,-109.287306335057,237.574612670114,21.603141763229,8.13192656093274e-06
"179",-5435.44786739405,NA,-0.144221288286262,NA,NA,0.066145606079682,0.970536053097916,NA,1.06976365605221,6,-109.499741908566,237.999483817132,22.0280129102466,6.57557674010102e-06
"151",-5267.94013296542,NA,-0.140197776851602,0.127930295771287,NA,0.0646726173464552,NA,NA,1.04258654912455,6,-109.790849815962,238.581699631924,22.6102287250384,4.91481633158991e-06
