"","(Intercept)","armi.lag1","cpi.lag1","for_prod.lag1","nfi.lag1","time","df","logLik","AICc","delta","weight"
"17",707.634218599352,NA,NA,NA,NA,1.26572375939611,3,-148.853579371127,305.118923448137,0,0.427359040216028
"19",740.918089201735,NA,-1.25824227016462,NA,NA,1.2279186135898,4,-148.617443847852,307.734887695703,2.61596424756658,0.115542956634625
"21",706.474292849968,NA,NA,-0.000227015600191183,NA,1.24676375146649,4,-148.622788814346,307.745577628691,2.62665418055434,0.114927030920309
"25",710.617497821721,NA,NA,NA,0.354221510917794,1.2589326836751,4,-148.757847000268,308.015694000536,2.89677055239929,0.100407733111588
"18",710.130704451788,-1.90535464301823,NA,NA,NA,1.25332264723754,4,-148.813456148124,308.126912296247,3.00798884811041,0.0949765557399064
"23",740.099024542922,NA,-1.27160417148717,-0.000229481012005812,NA,1.20835122643172,5,-148.376156656737,310.752313313474,5.63338986533699,0.0255574681859777
"27",752.038157094188,NA,-1.51768058373492,NA,0.505484986402389,1.21043245647648,5,-148.427408704793,310.854817409586,5.73589396144951,0.0242805962415419
"29",709.99808483818,NA,NA,-0.000250206321514929,0.432468841744223,1.23653567614771,5,-148.479037856932,310.958075713865,5.83915226572771,0.0230588206451415
"22",708.658983863113,-1.64891331468406,NA,-0.000222277964949508,NA,1.2364273829996,5,-148.592187023089,311.184374046178,6.06545059804091,0.0205919290326919
"20",741.115843001761,0.108406924172236,-1.27108761443069,NA,NA,1.22823823519857,5,-148.617336151474,311.234672302949,6.11574885481167,0.0200805176948878
"26",713.328927754393,-2.01342907856586,NA,NA,0.36292956218883,1.24566121342393,5,-148.71268002502,311.425360050041,6.30643660190373,0.0182544010168269
"31",753.037540644437,NA,-1.57805471089703,-0.000261895950703205,0.593405369494961,1.18505969726923,6,-148.112167458682,314.224334917365,9.1054114692281,0.00450378776779845
"24",740.937781893981,0.462608435243166,-1.32650312190826,-0.000230916611443492,NA,1.20959274754743,6,-148.374159275435,314.748318550869,9.6293951027323,0.00346574269667584
"28",752.899706223885,0.431267413502337,-1.57052834012319,NA,0.508886966514734,1.21158629984361,6,-148.425681694331,314.851363388661,9.73243994052461,0.00329170126599647
"30",712.370088405582,-1.75272545806546,NA,-0.000245497953321074,0.438576899896226,1.22540409325987,6,-148.444006424419,314.888012848839,9.76908940070172,0.00323193103795266
"32",754.84128613878,0.896737756783648,-1.68868571112611,-0.000265124380868973,0.601562941332922,1.18714611918308,7,-148.104519596272,318.82442380793,13.7055003597927,0.000451524485393195
"1",784.637142857143,NA,NA,NA,NA,NA,2,-161.759536110206,328.185738887078,23.0668154389416,4.18694798099022e-06
"3",904.618283088641,NA,-4.87237767802725,NA,NA,NA,3,-160.571058417652,328.553881541187,23.4349580930497,3.48302349148057e-06
"2",796.480388689807,-12.9535501294758,NA,NA,NA,NA,3,-161.168785151237,329.749335008357,24.6304115602204,1.91587416669029e-06
"5",778.619234539271,NA,NA,-0.000590542405024879,NA,NA,3,-161.28583661029,329.983437926463,24.8645144783264,1.70424558953129e-06
"9",790.834009188543,NA,NA,NA,0.854067027363676,NA,3,-161.594938161275,330.601641028432,25.4827175802948,1.25109728262432e-06
"7",896.286397935471,NA,-4.76486337026567,-0.000557812099938843,NA,NA,4,-160.098411634619,330.696823269238,25.5778998211014,1.1929507645109e-06
"11",927.661185101901,NA,-5.41764078153659,NA,1.32529032087489,NA,4,-160.137620873778,330.775241747557,25.6563182994199,1.14708120432636e-06
"4",892.090786674345,-5.65003973111406,-4.15386323739913,NA,NA,NA,4,-160.47560587656,331.45121175312,26.332288304983,8.18105178972305e-07
"6",790.145568825672,-11.9792613399037,NA,-0.000534228375640425,NA,NA,4,-160.763515350389,332.027030700777,26.9081072526405,6.13439371409391e-07
"10",802.928485755324,-13.0514361690035,NA,NA,0.876357724072473,NA,4,-160.985324138552,332.470648277104,27.3517248289676,4.91406971496215e-07
"13",785.609715280683,NA,NA,-0.000638724493552651,1.03111545917563,NA,4,-161.037111240456,332.574222480911,27.4552990327744,4.66606152397046e-07
"15",921.276411671207,NA,-5.36675314903646,-0.000623474778644788,1.4936854977724,NA,5,-159.525556240579,333.051112481158,27.9321890330215,3.67616599164162e-07
"8",886.313509244974,-4.61708765522694,-4.18111981816234,-0.000540117145813206,NA,NA,5,-160.032316602216,334.064633204433,28.945709756296,2.21468459282741e-07
"12",916.587333559723,-4.64136989687175,-4.80887488452774,NA,1.28026726026939,NA,5,-160.071097377409,334.142194754819,29.0232713066817,2.13044147211795e-07
"14",797.196059568457,-12.0069297067564,NA,-0.000582510522337439,1.03604024642701,NA,5,-160.499411547497,334.998823094994,29.8798996468574,1.38820986755371e-07
"16",913.462122170119,-3.33692525743569,-4.93025317377373,-0.000609092303724984,1.45743146554437,NA,6,-159.489495502655,336.97899100531,31.8600675571728,5.15783124558422e-08
